short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,1,1,0,0,2,1,1,1,2,0,0,1
6,翁梓勻,攔中,4,10,0,0,19,0,0,3,5,0,0,4
7,林書荷,長攻,8,25,1,0,7,8,14,11,19,0,0,9
9,甘可慧,攔中,11,19,0,0,6,0,0,2,5,0,0,11
10,POLINA,長攻,6,12,0,0,7,0,0,1,2,0,0,6
11,BIA,對角,14,29,0,0,7,1,5,7,16,0,0,14
12,廖苡任,舉球,2,4,1,0,9,0,0,7,16,14,73,3
23,陳莉鎔,舉球,1,1,0,1,3,0,0,0,0,1,11,2
24,王育文,攔中,0,1,0,1,1,0,0,0,0,0,0,1
69,陳潔,對角,0,1,1,0,3,1,1,2,3,0,0,1
77,吳芳妤,長攻,4,10,0,0,9,3,7,5,8,0,0,4
79,丁佩瑩,自由,0,0,0,0,0,0,0,7,13,0,0,0
88,陳佳蔓,舉球,0,0,1,0,0,0,0,0,0,0,2,1
99,邱詩晴,自由,0,0,0,0,0,9,13,4,7,0,0,0
2,陳彥臻,自由,0,0,0,0,0,4,4,6,12,0,0,0
3,許芳閩,對角,7,42,0,1,8,0,0,5,18,0,0,8
4,簡翊雯,對角,0,0,0,0,0,0,0,0,0,0,0,0
5,李思依,長攻,5,26,0,1,9,11,16,8,18,0,0,6
6,潘慧勳,長攻,8,32,0,0,6,19,32,3,10,0,0,8
7,陳思妤,長攻,0,0,0,0,0,0,0,0,0,0,0,0
8,吳文亘,攔中,0,1,0,0,1,0,1,0,0,0,0,0
9,江昀庭,自由,0,0,0,0,0,3,6,3,13,0,0,0
10,吳苡綾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
11,吳沛緹,長攻,1,5,0,0,1,1,4,2,4,0,0,1
12,戴君芳,舉球,0,0,0,0,2,0,0,3,7,6,37,0
13,張芸甄,舉球,0,0,0,0,4,0,0,1,3,6,37,0
15,林采臻,攔中,4,14,3,0,7,3,7,1,6,0,0,7
17,包茵綺,攔中,3,7,1,1,5,0,2,0,3,0,0,5
18,江辰翊,舉球,0,0,0,0,1,0,0,1,4,2,30,0
